caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Traer informacion estudiante - banner,2016-05-19 01:59:08,2016-05-19 01:59:35,Role 1,43,1.0,0
2,Traer informacion estudiante - banner,2016-05-19 03:46:05,2016-05-19 03:46:31,Role 1,44,1.0,0
3,Traer informacion estudiante - banner,2016-05-19 10:38:39,2016-05-19 10:39:01,Role 1,45,1.0,0
4,Traer informacion estudiante - banner,2016-05-19 12:31:40,2016-05-19 12:32:01,Role 1,46,1.0,0
5,Traer informacion estudiante - banner,2016-05-19 15:27:24,2016-05-19 15:27:45,Role 1,47,1.0,0
6,Traer informacion estudiante - banner,2016-05-19 15:59:38,2016-05-19 16:00:00,Role 1,48,1.0,0
7,Traer informacion estudiante - banner,2016-05-19 16:00:56,2016-05-19 16:01:18,Role 1,49,1.0,0
1,Radicar Solicitud Homologacion,2016-05-19 16:32:18,2016-05-19 16:36:47,Role 1,43,1.1023185483870968,0
2,Radicar Solicitud Homologacion,2016-05-19 17:59:15,2016-05-19 18:03:36,Role 1,44,1.1023185483870968,0
8,Traer informacion estudiante - banner,2016-05-19 18:17:48,2016-05-19 18:18:10,Role 1,50,1.0,0
9,Traer informacion estudiante - banner,2016-05-19 19:42:26,2016-05-19 19:42:48,Role 1,51,1.0,0
10,Traer informacion estudiante - banner,2016-05-19 19:56:59,2016-05-19 19:57:22,Role 1,52,1.0,0
11,Traer informacion estudiante - banner,2016-05-19 21:43:21,2016-05-19 21:43:44,Role 1,53,1.0,0
12,Traer informacion estudiante - banner,2016-05-19 22:43:49,2016-05-19 22:44:13,Role 1,54,1.0,0
13,Traer informacion estudiante - banner,2016-05-20 00:26:23,2016-05-20 00:27:23,Role 1,55,1.0,0
3,Radicar Solicitud Homologacion,2016-05-20 00:32:05,2016-05-20 00:37:43,Role 1,45,1.1023185483870968,0
14,Traer informacion estudiante - banner,2016-05-20 01:04:40,2016-05-20 01:05:39,Role 1,56,1.0,0
4,Radicar Solicitud Homologacion,2016-05-20 02:05:43,2016-05-20 02:11:06,Role 1,46,1.1023185483870968,0
13,Radicar Solicitud Homologacion,2016-05-20 02:48:16,2016-05-20 02:56:22,Role 1,55,1.1023185483870968,0
14,Radicar Solicitud Homologacion,2016-05-20 03:22:20,2016-05-20 03:30:21,Role 1,56,1.1023185483870968,0
7,Radicar Solicitud Homologacion,2016-05-20 04:38:46,2016-05-20 04:43:47,Role 1,49,1.1023185483870968,0
5,Radicar Solicitud Homologacion,2016-05-20 04:42:24,2016-05-20 04:46:32,Role 1,47,2.102318548387097,0
6,Radicar Solicitud Homologacion,2016-05-20 04:55:54,2016-05-20 05:00:50,Role 1,48,1.1023185483870968,0
8,Radicar Solicitud Homologacion,2016-05-20 06:37:29,2016-05-20 06:42:13,Role 1,50,1.1023185483870968,0
10,Radicar Solicitud Homologacion,2016-05-20 07:41:18,2016-05-20 07:45:56,Role 1,52,1.1023185483870968,0
9,Radicar Solicitud Homologacion,2016-05-20 07:44:17,2016-05-20 07:48:06,Role 1,51,2.102318548387097,0
15,Traer informacion estudiante - banner,2016-05-20 08:50:29,2016-05-20 08:51:19,Role 1,57,1.0,0
11,Radicar Solicitud Homologacion,2016-05-20 09:10:24,2016-05-20 09:14:52,Role 1,53,1.1023185483870968,0
16,Traer informacion estudiante - banner,2016-05-20 09:47:26,2016-05-20 09:48:15,Role 1,58,1.0,0
12,Radicar Solicitud Homologacion,2016-05-20 09:53:55,2016-05-20 09:58:20,Role 1,54,1.1023185483870968,0
13,Validar solicitud,2016-05-20 10:08:46,2016-05-20 10:21:51,Role 2,56,1.2416834677419355,0
14,Validar solicitud,2016-05-20 10:40:10,2016-05-20 10:52:54,Role 2,56,1.2416834677419355,0
15,Radicar Solicitud Homologacion,2016-05-20 11:03:54,2016-05-20 11:10:17,Role 1,57,1.1023185483870968,0
16,Radicar Solicitud Homologacion,2016-05-20 11:56:49,2016-05-20 12:03:05,Role 1,58,1.1023185483870968,0
17,Traer informacion estudiante - banner,2016-05-20 12:55:27,2016-05-20 12:56:14,Role 1,59,1.0,0
17,Radicar Solicitud Homologacion,2016-05-20 15:00:52,2016-05-20 15:06:38,Role 1,59,1.1023185483870968,0
18,Traer informacion estudiante - banner,2016-05-20 15:37:12,2016-05-20 15:37:57,Role 1,60,1.0,0
19,Traer informacion estudiante - banner,2016-05-20 16:51:52,2016-05-20 16:52:36,Role 1,61,1.0,0
5,Validar solicitud,2016-05-20 17:10:05,2016-05-20 17:19:40,Role 2,56,1.2416834677419355,0
18,Radicar Solicitud Homologacion,2016-05-20 17:38:44,2016-05-20 17:44:08,Role 1,60,1.1023185483870968,0
20,Traer informacion estudiante - banner,2016-05-20 17:45:36,2016-05-20 17:46:20,Role 1,62,1.0,0
3,Cancelar Solicitud,2016-05-20 18:06:26,2016-05-20 18:07:02,Role 2,55,1.2653729838709677,0
8,Validar solicitud,2016-05-20 18:13:45,2016-05-20 18:25:02,Role 2,56,1.2416834677419355,0
19,Radicar Solicitud Homologacion,2016-05-20 18:49:37,2016-05-20 18:54:54,Role 1,61,1.1023185483870968,0
13,Recepcion de documentos,2016-05-20 18:55:06,2016-05-20 18:55:46,Role 2,58,1.0148689516129032,0
4,Cancelar Solicitud,2016-05-20 19:08:39,2016-05-20 19:09:12,Role 2,56,1.2653729838709677,0
9,Validar solicitud,2016-05-20 19:02:56,2016-05-20 19:10:39,Role 2,56,2.2416834677419355,0
16,Validar solicitud,2016-05-20 19:02:01,2016-05-20 19:10:44,Role 2,58,1.2416834677419355,0
14,Recepcion de documentos,2016-05-20 19:23:18,2016-05-20 19:23:55,Role 2,58,1.0148689516129032,0
20,Radicar Solicitud Homologacion,2016-05-20 19:39:41,2016-05-20 19:44:52,Role 1,62,1.1023185483870968,0
21,Traer informacion estudiante - banner,2016-05-20 19:57:04,2016-05-20 19:57:49,Role 1,63,1.0,0
11,Validar solicitud,2016-05-20 19:49:40,2016-05-20 19:59:54,Role 2,57,1.2416834677419355,0
1,Validar solicitud,2016-05-20 20:01:50,2016-05-20 20:15:44,Role 2,49,1.2416834677419355,0
12,Validar solicitud,2016-05-20 20:10:07,2016-05-20 20:19:31,Role 2,58,2.2416834677419355,0
7,Cancelar Solicitud,2016-05-20 20:45:29,2016-05-20 20:45:44,Role 2,56,1.2653729838709677,0
22,Traer informacion estudiante - banner,2016-05-20 21:05:31,2016-05-20 21:06:15,Role 1,64,1.0,0
2,Validar solicitud,2016-05-20 20:54:44,2016-05-20 21:08:04,Role 2,49,1.2416834677419355,0
6,Cancelar Solicitud,2016-05-20 21:19:18,2016-05-20 21:19:32,Role 2,56,1.2653729838709677,0
21,Radicar Solicitud Homologacion,2016-05-20 21:37:06,2016-05-20 21:41:58,Role 1,63,1.1023185483870968,0
17,Validar solicitud,2016-05-20 22:00:22,2016-05-20 22:07:59,Role 2,59,1.2416834677419355,0
23,Traer informacion estudiante - banner,2016-05-20 22:17:06,2016-05-20 22:17:48,Role 1,65,1.0,0
22,Radicar Solicitud Homologacion,2016-05-20 22:42:13,2016-05-20 22:46:59,Role 1,64,1.1023185483870968,0
13,Homologacion por grupo de cursos,2016-05-20 22:49:47,2016-05-20 22:50:13,Role 3,62,1.5632560483870968,0
10,Cancelar Solicitud,2016-05-20 22:53:05,2016-05-20 22:53:07,Role 2,56,1.2653729838709677,0
14,Homologacion por grupo de cursos,2016-05-20 23:13:29,2016-05-20 23:13:52,Role 3,62,1.5632560483870968,0
23,Radicar Solicitud Homologacion,2016-05-21 00:00:35,2016-05-21 00:05:46,Role 1,65,1.1023185483870968,0
18,Validar solicitud,2016-05-21 00:29:57,2016-05-21 00:39:25,Role 2,61,1.2416834677419355,0
5,Recepcion de documentos,2016-05-21 01:41:48,2016-05-21 01:41:59,Role 2,61,1.0148689516129032,0
24,Traer informacion estudiante - banner,2016-05-21 01:43:54,2016-05-21 01:44:16,Role 1,64,1.0,0
