caseid,timestamp
Case1,2012-03-13 00:18:17
Case2,2012-03-13 01:24:41
Case3,2012-03-13 03:33:20
Case4,2012-03-13 04:41:00
Case5,2012-03-13 05:22:33
Case6,2012-03-13 06:51:21
Case7,2012-03-13 07:22:40
Case8,2012-03-13 08:16:13
Case9,2012-03-13 10:07:38
Case10,2012-03-13 13:36:28
Case11,2012-03-13 14:03:46
Case12,2012-03-13 15:21:42
Case13,2012-03-13 16:44:31
Case14,2012-03-13 17:15:47
Case15,2012-03-13 19:39:03
Case16,2012-03-13 21:39:02
Case17,2012-03-13 23:32:02
Case18,2012-03-14 00:55:58
Case19,2012-03-14 01:46:09
Case20,2012-03-14 02:37:23
Case21,2012-03-14 04:37:59
Case22,2012-03-14 05:30:16
Case23,2012-03-14 06:20:35
Case24,2012-03-14 07:16:35
Case25,2012-03-14 09:40:24
Case26,2012-03-14 12:41:32
Case27,2012-03-14 13:06:15
Case28,2012-03-14 14:04:31
Case29,2012-03-14 15:14:49
Case30,2012-03-14 16:18:58
Case31,2012-03-14 17:51:51
Case32,2012-03-14 18:58:26
Case33,2012-03-14 19:52:16
Case34,2012-03-14 20:02:58
Case35,2012-03-14 22:17:44
Case36,2012-03-14 23:04:35
Case37,2012-03-15 00:56:52
Case38,2012-03-15 04:39:24
Case39,2012-03-15 12:20:23
Case40,2012-03-15 13:02:17
Case41,2012-03-15 14:57:16
Case42,2012-03-15 15:29:20
Case43,2012-03-15 18:45:29
Case44,2012-03-15 20:56:12
Case45,2012-03-15 21:49:19
