caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Rework Milling,2012-03-13 00:24:24,2012-03-13 04:55:25,SYSTEM,12,1,-1
2,Turning & Milling,2012-03-13 01:22:06,2012-03-13 05:37:36,Role 1,13,1.649190439475713,-1
3,Milling Q.C.,2012-03-13 02:58:29,2012-03-13 07:17:28,SYSTEM,14,1,-1
4,Rework Milling,2012-03-13 04:23:35,2012-03-13 08:34:37,SYSTEM,15,2,-1
5,Rework Milling,2012-03-13 06:32:47,2012-03-13 10:36:33,SYSTEM,16,2,-1
6,Rework Milling,2012-03-13 07:50:03,2012-03-13 11:46:18,SYSTEM,17,3,-1
2,Turning & Milling Q.C.,2012-03-13 09:21:11,2012-03-13 12:03:08,Role 3,15,1.174248265227448,-1
1,Change Version,2012-03-13 08:55:23,2012-03-13 12:29:10,SYSTEM,15,1,-1
3,Packing,2012-03-13 10:33:04,2012-03-13 13:10:20,Role 5,16,1.0393215111796454,-1
4,Milling Q.C.,2012-03-13 12:12:59,2012-03-13 15:22:13,SYSTEM,17,1,-1
7,Change Version,2012-03-13 12:52:46,2012-03-13 16:40:28,SYSTEM,18,1,-1
5,Turning & Milling Q.C.,2012-03-13 14:25:04,2012-03-13 16:49:49,Role 3,17,1.174248265227448,-1
8,Rework Milling,2012-03-13 13:15:43,2012-03-13 17:01:34,SYSTEM,19,1,-1
6,Turning & Milling Q.C.,2012-03-13 15:35:29,2012-03-13 17:30:43,Role 3,17,2.174248265227448,-1
2,Turn & Mill. & Screw Assem,2012-03-13 16:05:47,2012-03-13 17:54:09,SYSTEM,17,1,-1
1,Final Inspection Q.C.,2012-03-13 16:38:49,2012-03-13 17:57:08,Role 3,17,1.202775636083269,-1
9,Rework Milling,2012-03-13 14:27:26,2012-03-13 18:06:07,SYSTEM,20,2,-1
3,Fix,2012-03-13 16:31:07,2012-03-13 18:17:51,SYSTEM,18,1,-1
10,Turning & Milling,2012-03-13 15:37:49,2012-03-13 19:07:13,Role 1,21,1.649190439475713,-1
11,Turning,2012-03-13 16:17:53,2012-03-13 19:53:54,SYSTEM,22,1,-1
4,Packing,2012-03-13 19:03:05,2012-03-13 20:38:41,Role 5,20,1.0393215111796454,-1
12,Turning & Milling,2012-03-13 17:34:34,2012-03-13 20:46:33,Role 1,23,2.649190439475713,-1
7,Final Inspection Q.C.,2012-03-13 20:18:57,2012-03-13 22:24:25,Role 3,22,1.202775636083269,-1
5,Turning & Milling,2012-03-13 20:56:00,2012-03-13 22:28:21,Role 1,22,1.649190439475713,-1
3,Packing,2012-03-13 21:43:57,2012-03-13 22:48:43,Role 5,23,1.0393215111796454,-1
2,Turning & Milling Q.C.,2012-03-13 22:03:40,2012-03-13 23:01:54,Role 3,23,1.174248265227448,-1
8,Milling Q.C.,2012-03-13 20:34:35,2012-03-13 23:07:46,SYSTEM,22,1,-1
13,Rework Milling,2012-03-13 19:43:37,2012-03-13 23:10:24,SYSTEM,24,1,-1
6,Turn & Mill. & Screw Assem,2012-03-13 21:45:22,2012-03-13 23:11:05,SYSTEM,22,1,-1
1,Grinding Rework,2012-03-13 22:17:09,2012-03-13 23:19:11,Role 2,23,1.012336160370085,-1
14,Rework Milling,2012-03-13 20:37:05,2012-03-13 23:58:17,SYSTEM,25,2,-1
9,Change Version,2012-03-13 21:57:10,2012-03-14 00:24:45,SYSTEM,23,1,-1
15,Turning & Milling,2012-03-13 21:34:25,2012-03-14 00:36:39,Role 1,25,2.649190439475713,-1
10,Milling Q.C.,2012-03-13 22:30:42,2012-03-14 00:48:33,SYSTEM,23,2,-1
11,Turning Q.C.,2012-03-13 23:42:36,2012-03-14 02:04:16,SYSTEM,24,1,-1
16,Rework Milling,2012-03-13 23:15:00,2012-03-14 02:29:26,SYSTEM,25,2,-1
12,Turning & Milling Q.C.,2012-03-14 00:19:05,2012-03-14 03:07:10,Role 3,24,1.174248265227448,-1
3,Fix,2012-03-14 02:27:24,2012-03-14 03:44:42,SYSTEM,24,1,-1
2,Laser Marking,2012-03-14 03:24:39,2012-03-14 04:30:26,Role 4,24,2.0609097918272936,-1
5,Laser Marking,2012-03-14 02:58:39,2012-03-14 04:30:47,Role 4,24,1.0609097918272938,-1
1,Packing,2012-03-14 03:38:50,2012-03-14 04:47:00,Role 5,25,2.0393215111796454,-1
6,Turning & Milling Q.C.,2012-03-14 03:44:32,2012-03-14 05:04:35,Role 3,24,2.174248265227448,-1
8,Packing,2012-03-14 02:55:51,2012-03-14 05:05:51,Role 5,24,1.0393215111796454,-1
15,Turning & Milling Q.C.,2012-03-14 04:18:29,2012-03-14 06:08:46,Role 3,25,3.174248265227448,-1
13,Turning,2012-03-14 03:03:30,2012-03-14 06:30:42,SYSTEM,24,1,-1
14,Turning & Milling Q.C.,2012-03-14 03:42:09,2012-03-14 06:30:47,Role 3,25,1.174248265227448,-1
10,Packing,2012-03-14 04:53:51,2012-03-14 06:30:51,Role 5,25,2.0393215111796454,-1
9,Final Inspection Q.C.,2012-03-14 05:04:35,2012-03-14 06:43:41,Role 3,25,1.202775636083269,-1
17,Rework Milling,2012-03-14 03:30:27,2012-03-14 08:13:14,SYSTEM,26,1,-1
18,Change Version,2012-03-14 04:14:10,2012-03-14 08:54:01,SYSTEM,27,1,-1
11,Turning & Milling,2012-03-14 06:49:55,2012-03-14 08:59:49,Role 1,25,2.649190439475713,-1
3,Packing,2012-03-14 08:01:57,2012-03-14 09:33:12,Role 5,26,1.0393215111796454,-1
16,Turning & Milling,2012-03-14 06:33:38,2012-03-14 09:34:38,Role 1,25,1.649190439475713,-1
12,Turn & Mill. & Screw Assem,2012-03-14 07:49:02,2012-03-14 10:23:29,SYSTEM,25,1,-1
19,Turning & Milling,2012-03-14 06:54:05,2012-03-14 10:47:14,Role 1,27,3.649190439475713,-1
5,Final Inspection Q.C.,2012-03-14 09:18:20,2012-03-14 10:47:48,Role 3,27,1.202775636083269,-1
2,Round Grinding,2012-03-14 09:29:26,2012-03-14 10:54:20,Role 2,27,1.4379336931380107,-1
6,Nitration Q.C.,2012-03-14 10:14:33,2012-03-14 11:30:01,Role 3,26,1.0007710100231304,-1
8,Round  Q.C.,2012-03-14 09:32:46,2012-03-14 11:34:45,SYSTEM,26,1,-1
