caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Rework Milling,2012-03-13 00:24:07,2012-03-13 04:55:09,SYSTEM,12,1,0
2,Turning & Milling,2012-03-13 01:48:33,2012-03-13 06:02:41,Role 1,13,1.649190439475713,0
3,Turning & Milling,2012-03-13 02:40:11,2012-03-13 06:36:18,Role 1,14,2.649190439475713,0
4,Turning,2012-03-13 03:37:49,2012-03-13 07:55:28,SYSTEM,15,1,0
5,Change Version,2012-03-13 04:17:43,2012-03-13 08:32:52,SYSTEM,16,1,0
6,Milling Q.C.,2012-03-13 05:40:09,2012-03-13 09:48:24,SYSTEM,17,1,0
7,Rework Milling,2012-03-13 06:44:45,2012-03-13 10:50:41,SYSTEM,18,1,0
1,Turning & Milling Q.C.,2012-03-13 08:45:26,2012-03-13 11:06:28,Role 3,16,2.174248265227448,0
9,Turning & Milling Q.C.,2012-03-13 08:23:34,2012-03-13 11:35:02,Role 3,20,1.174248265227448,0
8,Rework Milling,2012-03-13 07:55:27,2012-03-13 11:52:57,SYSTEM,19,2,0
3,Turning & Milling Q.C.,2012-03-13 10:17:14,2012-03-13 11:56:23,Role 3,17,3.174248265227448,0
10,Rework Milling,2012-03-13 09:07:05,2012-03-13 12:56:43,SYSTEM,21,3,0
2,Turning,2012-03-13 09:51:16,2012-03-13 13:09:26,SYSTEM,17,1,0
5,Final Inspection Q.C.,2012-03-13 12:16:44,2012-03-13 14:52:11,Role 3,20,1.202775636083269,0
4,Turning Q.C.,2012-03-13 11:47:51,2012-03-13 15:02:55,SYSTEM,19,1,0
11,Rework Milling,2012-03-13 11:23:13,2012-03-13 15:06:19,SYSTEM,22,3,0
6,Packing,2012-03-13 12:57:32,2012-03-13 15:24:35,Role 5,21,1.0393215111796454,0
12,Turning & Milling,2012-03-13 12:28:30,2012-03-13 16:05:53,Role 1,23,1.649190439475713,0
1,Flat Grinding,2012-03-13 15:14:03,2012-03-13 16:41:03,Role 4,21,1.0246723207401696,0
9,Nitration Q.C.,2012-03-13 15:24:15,2012-03-13 17:05:58,Role 3,22,1.0007710100231304,0
3,Turn & Mill. & Screw Assem,2012-03-13 15:54:03,2012-03-13 17:19:30,SYSTEM,22,1,0
13,Rework Milling,2012-03-13 13:41:31,2012-03-13 17:21:01,SYSTEM,24,2,0
14,Turning & Milling,2012-03-13 14:02:20,2012-03-13 17:22:20,Role 1,25,2.649190439475713,0
7,Change Version,2012-03-13 14:43:47,2012-03-13 17:43:25,SYSTEM,21,1,0
15,Turning & Milling Q.C.,2012-03-13 15:11:05,2012-03-13 18:05:53,Role 3,26,1.174248265227448,0
8,Turning & Milling,2012-03-13 15:40:36,2012-03-13 18:06:16,Role 1,22,3.649190439475713,0
2,Turning Q.C.,2012-03-13 17:07:56,2012-03-13 19:14:44,SYSTEM,23,1,0
10,Change Version,2012-03-13 16:48:30,2012-03-13 19:29:31,SYSTEM,23,2,0
16,Rework Milling,2012-03-13 16:49:37,2012-03-13 20:20:11,SYSTEM,26,2,0
11,Turning & Milling Q.C.,2012-03-13 18:47:55,2012-03-13 20:35:01,Role 3,25,2.174248265227448,0
17,Rework Milling,2012-03-13 17:10:43,2012-03-13 20:36:49,SYSTEM,27,3,0
5,Round Grinding,2012-03-13 18:59:52,2012-03-13 20:40:30,Role 2,25,1.4379336931380107,0
4,Turning & Milling,2012-03-13 19:06:40,2012-03-13 21:03:44,Role 1,25,1.649190439475713,0
18,Turning & Milling Q.C.,2012-03-13 18:21:56,2012-03-13 21:09:45,Role 3,28,1.174248265227448,0
12,Laser Marking,2012-03-13 19:41:51,2012-03-13 21:47:00,Role 4,25,1.0609097918272938,0
1,Lapping,2012-03-13 21:07:36,2012-03-13 22:13:41,Role 4,25,1.123361603700848,0
3,Turning & Milling Q.C.,2012-03-13 21:31:53,2012-03-13 22:41:29,Role 3,27,1.174248265227448,0
9,Laser Marking,2012-03-13 21:47:00,2012-03-13 22:54:31,Role 4,26,1.0609097918272938,0
