caseid,timestamp
Case1,2016-05-18 22:25:46
Case2,2016-05-18 22:50:51
Case3,2016-05-18 23:30:01
Case4,2016-05-18 23:34:44
Case5,2016-05-19 00:37:23
Case6,2016-05-19 01:41:46
Case7,2016-05-19 02:49:52
Case8,2016-05-19 03:36:15
Case9,2016-05-19 04:25:39
Case10,2016-05-19 05:20:06
Case11,2016-05-19 07:38:01
Case12,2016-05-19 08:40:34
Case13,2016-05-19 10:05:37
Case14,2016-05-19 12:50:02
Case15,2016-05-19 13:11:00
Case16,2016-05-19 15:10:32
Case17,2016-05-19 16:43:44
Case18,2016-05-19 17:21:21
Case19,2016-05-19 19:17:00
Case20,2016-05-19 21:53:36
Case21,2016-05-19 23:14:04
Case22,2016-05-20 00:32:08
Case23,2016-05-20 01:09:22
Case24,2016-05-20 02:06:14
Case25,2016-05-20 05:32:51
Case26,2016-05-20 06:54:11
Case27,2016-05-20 08:14:55
Case28,2016-05-20 12:38:45
Case29,2016-05-20 14:49:00
Case30,2016-05-20 15:07:40
Case31,2016-05-20 16:40:21
Case32,2016-05-20 18:56:13
Case33,2016-05-20 20:06:52
Case34,2016-05-20 21:09:29
Case35,2016-05-20 22:09:11
Case36,2016-05-21 00:43:35
Case37,2016-05-21 02:06:04
Case38,2016-05-21 04:37:10
Case39,2016-05-21 05:47:14
Case40,2016-05-21 08:54:39
Case41,2016-05-21 09:47:57
Case42,2016-05-21 15:15:55
Case43,2016-05-21 17:13:26
Case44,2016-05-21 18:59:50
Case45,2016-05-21 21:05:30
Case46,2016-05-21 22:37:15
Case47,2016-05-21 23:05:45
Case48,2016-05-22 00:46:37
Case49,2016-05-22 01:28:27
Case50,2016-05-22 02:22:30
Case51,2016-05-22 12:22:11
Case52,2016-05-22 15:51:51
Case53,2016-05-22 18:26:47
Case54,2016-05-22 20:17:49
Case55,2016-05-22 21:25:27
Case56,2016-05-22 22:04:39
Case57,2016-05-22 23:42:07
Case58,2016-05-23 00:42:30
Case59,2016-05-23 06:51:10
Case60,2016-05-23 12:10:40
Case61,2016-05-23 13:36:23
Case62,2016-05-23 14:05:31
Case63,2016-05-23 15:00:48
Case64,2016-05-23 16:34:54
Case65,2016-05-23 17:38:22
Case66,2016-05-23 18:45:14
Case67,2016-05-23 20:50:33
Case68,2016-05-23 21:21:18
Case69,2016-05-23 22:29:19
Case70,2016-05-23 23:19:07
Case71,2016-05-23 23:58:07
Case72,2016-05-24 02:23:39
Case73,2016-05-24 03:04:41
Case74,2016-05-24 04:44:43
Case75,2016-05-24 15:21:02
Case76,2016-05-24 16:28:54
Case77,2016-05-24 17:20:26
Case78,2016-05-24 18:07:14
Case79,2016-05-24 19:25:13
Case80,2016-05-24 19:57:35
Case81,2016-05-24 21:24:32
Case82,2016-05-24 22:18:08
Case83,2016-05-25 01:19:34
Case84,2016-05-25 09:40:42
Case85,2016-05-25 12:45:50
Case86,2016-05-25 13:40:43
Case87,2016-05-25 14:54:47
Case88,2016-05-25 15:15:12
Case89,2016-05-25 16:38:28
Case90,2016-05-25 17:28:09
Case91,2016-05-25 18:00:20
Case92,2016-05-25 19:31:41
Case93,2016-05-25 21:59:46
Case94,2016-05-25 23:13:59
Case95,2016-05-26 00:25:30
Case96,2016-05-26 01:50:23
