caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Create Purchase Requisition,2011-06-20 19:29:14,2011-06-20 19:37:28,Role 1,41,1.1258027956176804,-1
2,Create Purchase Requisition,2011-06-20 21:24:40,2011-06-20 21:32:51,Role 1,42,1.1258027956176804,-1
3,Create Purchase Requisition,2011-06-20 23:36:00,2011-06-20 23:44:09,Role 1,43,1.1258027956176804,-1
4,Create Purchase Requisition,2011-06-21 00:44:03,2011-06-21 00:53:03,Role 1,44,1.1258027956176804,-1
5,Create Purchase Requisition,2011-06-21 02:07:59,2011-06-21 02:16:57,Role 1,45,1.1258027956176804,-1
2,Create Request for Quotation,2011-06-21 02:42:52,2011-06-21 02:56:00,Role 3,42,1.047317718171515,-1
6,Create Purchase Requisition,2011-06-21 03:13:12,2011-06-21 03:22:09,Role 1,46,1.1258027956176804,-1
7,Create Purchase Requisition,2011-06-21 03:57:26,2011-06-21 04:06:22,Role 1,47,1.1258027956176804,-1
8,Create Purchase Requisition,2011-06-21 09:37:31,2011-06-21 09:46:21,Role 1,48,1.1258027956176804,-1
9,Create Purchase Requisition,2011-06-21 12:37:30,2011-06-21 12:46:17,Role 1,49,1.1258027956176804,-1
5,Create Request for Quotation,2011-06-21 12:56:39,2011-06-21 13:08:19,Role 3,45,1.047317718171515,-1
10,Create Purchase Requisition,2011-06-21 13:26:56,2011-06-21 13:35:42,Role 1,50,1.1258027956176804,-1
11,Create Purchase Requisition,2011-06-21 14:04:56,2011-06-21 14:13:42,Role 1,51,1.1258027956176804,-1
6,Create Request for Quotation,2011-06-21 14:09:18,2011-06-21 14:20:59,Role 3,46,1.047317718171515,-1
7,Create Request for Quotation,2011-06-21 15:01:00,2011-06-21 15:12:44,Role 3,47,1.047317718171515,-1
12,Create Purchase Requisition,2011-06-21 15:15:03,2011-06-21 15:23:48,Role 1,52,1.1258027956176804,-1
13,Create Purchase Requisition,2011-06-21 15:45:32,2011-06-21 15:54:17,Role 1,53,1.1258027956176804,-1
1,Analyze Purchase Requisition,2011-06-21 17:05:53,2011-06-21 17:10:09,Role 3,41,1.0333396297695505,-1
1,Create Request for Quotation,2011-06-21 17:36:22,2011-06-21 17:55:16,Role 3,53,1.047317718171515,-1
14,Create Purchase Requisition,2011-06-21 20:24:38,2011-06-21 20:33:20,Role 1,54,1.1258027956176804,-1
3,Analyze Purchase Requisition,2011-06-21 21:26:38,2011-06-21 21:30:56,Role 3,43,1.0333396297695505,-1
15,Create Purchase Requisition,2011-06-21 21:43:40,2011-06-21 21:52:21,Role 1,55,1.1258027956176804,-1
16,Create Purchase Requisition,2011-06-21 21:51:10,2011-06-21 21:59:40,Role 1,56,2.1258027956176804,-1
17,Create Purchase Requisition,2011-06-21 23:40:08,2011-06-21 23:48:47,Role 1,57,1.1258027956176804,-1
18,Create Purchase Requisition,2011-06-21 23:48:32,2011-06-21 23:56:59,Role 1,58,2.1258027956176804,-1
3,Amend Purchase Requisition,2011-06-22 00:00:24,2011-06-22 00:20:26,Role 1,54,1.0017944843218738,-1
4,Analyze Purchase Requisition,2011-06-22 01:32:24,2011-06-22 01:36:45,Role 3,44,1.0333396297695505,-1
4,Create Request for Quotation,2011-06-22 01:59:21,2011-06-22 02:19:04,Role 3,58,1.047317718171515,-1
19,Create Purchase Requisition,2011-06-22 02:21:07,2011-06-22 02:29:56,Role 1,59,1.1258027956176804,-1
12,Create Request for Quotation,2011-06-22 02:56:40,2011-06-22 03:08:53,Role 3,52,1.047317718171515,-1
13,Create Request for Quotation,2011-06-22 03:34:59,2011-06-22 03:47:14,Role 3,53,1.047317718171515,-1
20,Create Purchase Requisition,2011-06-22 06:35:52,2011-06-22 06:44:36,Role 1,60,1.1258027956176804,-1
14,Create Request for Quotation,2011-06-22 08:21:54,2011-06-22 08:34:21,Role 3,54,1.047317718171515,-1
21,Create Purchase Requisition,2011-06-22 09:35:23,2011-06-22 09:44:03,Role 1,61,1.1258027956176804,-1
16,Create Request for Quotation,2011-06-22 09:34:42,2011-06-22 09:48:35,Role 3,56,1.047317718171515,-1
15,Create Request for Quotation,2011-06-22 09:52:14,2011-06-22 10:04:43,Role 3,56,1.047317718171515,-1
22,Create Purchase Requisition,2011-06-22 10:00:41,2011-06-22 10:09:21,Role 1,62,1.1258027956176804,-1
8,Analyze Purchase Requisition,2011-06-22 11:01:44,2011-06-22 11:06:01,Role 3,48,1.0333396297695505,-1
