caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Create Purchase Requisition,2011-06-20 23:25:40,2011-06-20 23:33:49,Role 1,41,1.1258027956176804,0
2,Create Purchase Requisition,2011-06-20 23:58:13,2011-06-21 00:06:22,Role 1,42,1.1258027956176804,0
3,Create Purchase Requisition,2011-06-21 01:05:19,2011-06-21 01:14:19,Role 1,43,1.1258027956176804,0
4,Create Purchase Requisition,2011-06-21 01:49:44,2011-06-21 01:58:42,Role 1,44,1.1258027956176804,0
5,Create Purchase Requisition,2011-06-21 03:33:06,2011-06-21 03:42:02,Role 1,45,1.1258027956176804,0
6,Create Purchase Requisition,2011-06-21 03:51:14,2011-06-21 04:00:10,Role 1,46,1.1258027956176804,0
1,Create Request for Quotation,2011-06-21 04:36:01,2011-06-21 04:49:12,Role 3,41,1.047317718171515,0
7,Create Purchase Requisition,2011-06-21 08:12:42,2011-06-21 08:21:33,Role 1,47,1.1258027956176804,0
2,Create Request for Quotation,2011-06-21 08:38:24,2011-06-21 08:51:31,Role 3,42,1.047317718171515,0
8,Create Purchase Requisition,2011-06-21 09:51:24,2011-06-21 10:00:14,Role 1,48,1.1258027956176804,0
9,Create Purchase Requisition,2011-06-21 11:29:42,2011-06-21 11:38:30,Role 1,49,1.1258027956176804,0
3,Create Request for Quotation,2011-06-21 11:39:14,2011-06-21 11:50:49,Role 3,43,1.047317718171515,0
4,Create Request for Quotation,2011-06-21 12:31:00,2011-06-21 12:42:38,Role 3,44,1.047317718171515,0
5,Create Request for Quotation,2011-06-21 14:21:44,2011-06-21 14:33:28,Role 3,45,1.047317718171515,0
6,Create Request for Quotation,2011-06-21 14:47:19,2011-06-21 14:59:05,Role 3,46,1.047317718171515,0
10,Create Purchase Requisition,2011-06-21 15:32:11,2011-06-21 15:40:56,Role 1,50,1.1258027956176804,0
7,Create Request for Quotation,2011-06-21 19:16:11,2011-06-21 19:28:09,Role 3,47,1.047317718171515,0
11,Create Purchase Requisition,2011-06-21 19:28:17,2011-06-21 19:36:59,Role 1,51,1.1258027956176804,0
12,Create Purchase Requisition,2011-06-21 20:08:00,2011-06-21 20:16:42,Role 1,52,1.1258027956176804,0
8,Create Request for Quotation,2011-06-21 21:02:23,2011-06-21 21:14:24,Role 3,48,1.047317718171515,0
13,Create Purchase Requisition,2011-06-21 21:41:41,2011-06-21 21:50:22,Role 1,53,1.1258027956176804,0
14,Create Purchase Requisition,2011-06-21 22:16:14,2011-06-21 22:24:54,Role 1,54,1.1258027956176804,0
