caseid,timestamp
Case1,2022-07-05 14:02:00
Case2,2022-07-05 15:44:10
Case3,2022-07-05 16:51:18
Case4,2022-07-05 18:17:26
Case5,2022-07-05 19:26:54
Case6,2022-07-05 20:01:07
Case7,2022-07-05 22:34:02
Case8,2022-07-05 23:28:13
Case9,2022-07-06 01:02:27
Case10,2022-07-06 02:14:52
Case11,2022-07-06 05:56:16
Case12,2022-07-06 06:03:36
Case13,2022-07-06 07:46:35
Case14,2022-07-06 08:47:41
Case15,2022-07-06 09:02:50
Case16,2022-07-06 10:13:28
Case17,2022-07-06 12:41:52
Case18,2022-07-06 13:03:24
Case19,2022-07-06 15:50:26
Case20,2022-07-06 16:42:23
Case21,2022-07-06 17:41:57
Case22,2022-07-06 18:20:32
Case23,2022-07-06 19:54:15
Case24,2022-07-06 20:50:44
Case25,2022-07-06 21:45:09
Case26,2022-07-06 22:44:46
Case27,2022-07-06 23:53:04
Case28,2022-07-07 00:51:43
Case29,2022-07-07 01:46:20
Case30,2022-07-07 02:23:31
Case31,2022-07-07 04:36:38
Case32,2022-07-07 05:11:16
Case33,2022-07-07 06:55:01
Case34,2022-07-07 07:01:39
Case35,2022-07-07 08:32:33
Case36,2022-07-07 10:38:29
Case37,2022-07-07 11:44:07
Case38,2022-07-07 12:27:45
Case39,2022-07-07 13:56:16
Case40,2022-07-07 14:45:02
Case41,2022-07-07 15:35:43
Case42,2022-07-07 16:31:25
Case43,2022-07-07 17:28:43
Case44,2022-07-07 18:00:06
Case45,2022-07-07 19:36:02
Case46,2022-07-07 20:45:03
Case47,2022-07-07 21:56:46
Case48,2022-07-07 22:48:02
Case49,2022-07-07 23:13:14
Case50,2022-07-08 00:20:49
Case51,2022-07-08 01:24:34
Case52,2022-07-08 02:10:07
Case53,2022-07-08 03:39:43
Case54,2022-07-08 04:15:40
Case55,2022-07-08 05:16:12
Case56,2022-07-08 06:56:51
Case57,2022-07-08 07:43:49
Case58,2022-07-08 09:10:21
Case59,2022-07-08 10:03:31
Case60,2022-07-08 11:00:57
Case61,2022-07-08 12:21:40
