caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A_SUBMITTED,2022-07-05 14:03:03,2022-07-05 14:38:49,Role 1,101,1.1719995445228877,-1
2,A_SUBMITTED,2022-07-05 15:44:56,2022-07-05 16:20:37,Role 1,102,1.1719995445228877,-1
3,A_SUBMITTED,2022-07-05 16:23:33,2022-07-05 16:59:12,Role 1,103,1.1719995445228877,-1
4,A_SUBMITTED,2022-07-05 17:49:38,2022-07-05 18:25:13,Role 1,104,1.1719995445228877,-1
1,A_PARTLYSUBMITTED,2022-07-05 18:07:13,2022-07-05 18:26:54,Role 1,101,1.1182817125939422,-1
5,A_SUBMITTED,2022-07-05 18:59:29,2022-07-05 19:35:01,Role 1,105,1.1719995445228877,-1
6,A_SUBMITTED,2022-07-05 19:13:43,2022-07-05 19:49:26,Role 1,106,2.1719995445228877,-1
2,A_PARTLYSUBMITTED,2022-07-05 19:52:26,2022-07-05 20:11:45,Role 1,102,1.1182817125939422,-1
7,A_SUBMITTED,2022-07-05 20:14:33,2022-07-05 20:50:02,Role 1,107,1.1719995445228877,-1
3,A_PARTLYSUBMITTED,2022-07-05 20:34:28,2022-07-05 20:54:09,Role 1,103,1.1182817125939422,-1
8,A_SUBMITTED,2022-07-05 21:31:23,2022-07-05 22:06:48,Role 1,108,1.1719995445228877,-1
4,A_PARTLYSUBMITTED,2022-07-05 22:13:13,2022-07-05 22:32:53,Role 1,104,1.1182817125939422,-1
9,A_SUBMITTED,2022-07-05 22:08:24,2022-07-05 22:43:48,Role 1,109,1.1719995445228877,-1
10,A_SUBMITTED,2022-07-05 23:01:24,2022-07-05 23:36:46,Role 1,110,1.1719995445228877,-1
5,A_PARTLYSUBMITTED,2022-07-05 23:28:01,2022-07-05 23:47:41,Role 1,106,1.1182817125939422,-1
6,A_PARTLYSUBMITTED,2022-07-05 23:36:46,2022-07-05 23:56:56,Role 1,106,2.118281712593942,-1
