caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A_SUBMITTED,2022-07-05 15:54:41,2022-07-05 16:30:21,Role 1,101,1.1719995445228877,0
2,A_SUBMITTED,2022-07-05 16:15:51,2022-07-05 16:51:38,Role 1,102,2.1719995445228877,0
3,A_SUBMITTED,2022-07-05 17:14:06,2022-07-05 17:49:42,Role 1,103,1.1719995445228877,0
4,A_SUBMITTED,2022-07-05 18:00:54,2022-07-05 18:36:28,Role 1,104,1.1719995445228877,0
5,A_SUBMITTED,2022-07-05 19:32:51,2022-07-05 20:08:21,Role 1,105,1.1719995445228877,0
1,A_PARTLYSUBMITTED,2022-07-05 20:09:42,2022-07-05 20:29:00,Role 1,102,1.1182817125939422,0
2,A_PARTLYSUBMITTED,2022-07-05 20:22:30,2022-07-05 20:42:40,Role 1,102,2.118281712593942,0
6,A_SUBMITTED,2022-07-05 20:46:22,2022-07-05 21:21:48,Role 1,106,1.1719995445228877,0
3,A_PARTLYSUBMITTED,2022-07-05 21:24:58,2022-07-05 21:44:16,Role 1,103,1.1182817125939422,0
7,A_SUBMITTED,2022-07-05 21:55:19,2022-07-05 22:30:42,Role 1,107,1.1719995445228877,0
4,A_PARTLYSUBMITTED,2022-07-05 22:15:13,2022-07-05 22:34:52,Role 1,104,1.1182817125939422,0
5,A_PARTLYSUBMITTED,2022-07-05 23:50:36,2022-07-06 00:09:53,Role 1,105,1.1182817125939422,0
8,A_SUBMITTED,2022-07-05 23:51:09,2022-07-06 00:26:31,Role 1,108,1.1719995445228877,0
9,A_SUBMITTED,2022-07-06 00:28:00,2022-07-06 01:06:50,Role 1,109,1.1719995445228877,0
6,A_PARTLYSUBMITTED,2022-07-06 01:07:35,2022-07-06 01:35:44,Role 1,106,1.1182817125939422,0
10,A_SUBMITTED,2022-07-06 01:51:18,2022-07-06 02:30:02,Role 1,110,1.1719995445228877,0
11,A_SUBMITTED,2022-07-06 02:16:22,2022-07-06 02:54:04,Role 1,111,2.1719995445228877,0
7,A_PARTLYSUBMITTED,2022-07-06 02:30:02,2022-07-06 02:59:13,Role 1,107,1.1182817125939422,0
8,A_PARTLYSUBMITTED,2022-07-06 03:43:10,2022-07-06 04:10:59,Role 1,108,1.1182817125939422,0
12,A_SUBMITTED,2022-07-06 03:53:37,2022-07-06 04:31:51,Role 1,112,1.1719995445228877,0
9,A_PARTLYSUBMITTED,2022-07-06 04:10:59,2022-07-06 04:36:41,Role 1,109,1.1182817125939422,0
13,A_SUBMITTED,2022-07-06 04:31:51,2022-07-06 05:10:04,Role 1,113,1.1719995445228877,1
10,A_PARTLYSUBMITTED,2022-07-06 05:47:23,2022-07-06 06:12:58,Role 1,111,1.1182817125939422,1
14,A_SUBMITTED,2022-07-06 05:42:43,2022-07-06 06:21:15,Role 1,114,1.1719995445228877,0
11,A_PARTLYSUBMITTED,2022-07-06 06:21:15,2022-07-06 06:45:41,Role 1,111,1.1182817125939422,0
15,A_SUBMITTED,2022-07-06 06:13:12,2022-07-06 06:50:49,Role 1,115,2.1719995445228877,0
16,A_SUBMITTED,2022-07-06 07:19:07,2022-07-06 07:57:34,Role 1,116,1.1719995445228877,0
12,A_PARTLYSUBMITTED,2022-07-06 08:00:30,2022-07-06 08:24:25,Role 1,113,1.1182817125939422,1
13,A_PARTLYSUBMITTED,2022-07-06 08:35:17,2022-07-06 08:59:09,Role 1,113,1.1182817125939422,0
17,A_SUBMITTED,2022-07-06 08:45:31,2022-07-06 09:23:34,Role 1,117,1.1719995445228877,0
14,A_PARTLYSUBMITTED,2022-07-06 09:52:52,2022-07-06 10:18:12,Role 1,115,1.1182817125939422,1
18,A_SUBMITTED,2022-07-06 09:45:10,2022-07-06 10:23:30,Role 1,118,1.1719995445228877,0
15,A_PARTLYSUBMITTED,2022-07-06 10:23:30,2022-07-06 10:47:49,Role 1,115,1.1182817125939422,0
19,A_SUBMITTED,2022-07-06 10:18:12,2022-07-06 10:55:45,Role 1,119,2.1719995445228877,0
20,A_SUBMITTED,2022-07-06 11:00:51,2022-07-06 11:39:08,Role 1,120,1.1719995445228877,0
16,A_PARTLYSUBMITTED,2022-07-06 11:21:48,2022-07-06 11:47:04,Role 1,116,1.1182817125939422,0
21,A_SUBMITTED,2022-07-06 12:26:53,2022-07-06 13:05:06,Role 1,121,1.1719995445228877,0
17,A_PARTLYSUBMITTED,2022-07-06 12:57:44,2022-07-06 13:22:42,Role 1,117,1.1182817125939422,0
22,A_SUBMITTED,2022-07-06 13:25:54,2022-07-06 14:04:05,Role 1,122,1.1719995445228877,0
18,A_PARTLYSUBMITTED,2022-07-06 14:09:58,2022-07-06 14:33:50,Role 1,119,1.1182817125939422,1
19,A_PARTLYSUBMITTED,2022-07-06 14:42:31,2022-07-06 15:05:30,Role 1,119,1.1182817125939422,0
23,A_SUBMITTED,2022-07-06 14:54:06,2022-07-06 15:31:58,Role 1,123,1.1719995445228877,0
24,A_SUBMITTED,2022-07-06 15:17:38,2022-07-06 15:55:06,Role 1,124,2.1719995445228877,0
20,A_PARTLYSUBMITTED,2022-07-06 15:31:58,2022-07-06 15:57:02,Role 1,120,1.1182817125939422,0
21,A_PARTLYSUBMITTED,2022-07-06 17:00:58,2022-07-06 17:25:57,Role 1,121,1.1182817125939422,0
25,A_SUBMITTED,2022-07-06 16:55:04,2022-07-06 17:33:07,Role 1,125,1.1719995445228877,0
22,A_PARTLYSUBMITTED,2022-07-06 17:51:15,2022-07-06 18:16:12,Role 1,122,1.1182817125939422,0
26,A_SUBMITTED,2022-07-06 17:41:14,2022-07-06 18:19:16,Role 1,126,1.1719995445228877,0
27,A_SUBMITTED,2022-07-06 18:34:25,2022-07-06 19:12:25,Role 1,127,1.1719995445228877,0
