caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A,2020-08-17 14:42:03,2020-08-17 14:48:36,Role 5,5,2.008450704225352,0
1,B,2020-08-17 15:14:31,2020-08-17 15:17:28,Role 5,5,2.028169014084507,0
1,E,2020-08-17 15:17:48,2020-08-17 15:20:02,Role 5,5,2.0140845070422535,0
1,F,2020-08-17 15:20:17,2020-08-17 15:23:08,Role 5,5,2.0253521126760563,0
1,C,2020-08-17 15:23:25,2020-08-17 15:30:06,Role 5,5,2.0140845070422535,0
1,D,2020-08-17 15:30:23,2020-08-17 15:39:26,Role 5,5,2.0225352112676056,0
1,H,2020-08-17 15:39:50,2020-08-17 15:43:12,Role 5,5,2.028169014084507,0
1,G,2020-08-17 16:46:25,2020-08-17 16:46:58,Role 5,5,2.0338028169014084,0
2,A,2020-08-17 16:46:58,2020-08-17 16:53:29,Role 5,6,2.008450704225352,1
3,A,2020-08-17 16:53:29,2020-08-17 17:00:00,Role 5,7,2.008450704225352,2
1,I,2020-08-17 17:12:10,2020-08-17 17:20:49,Role 5,7,2.0405405405405403,2
2,B,2020-08-17 17:20:49,2020-08-17 17:23:40,Role 5,7,2.028169014084507,2
3,B,2020-08-17 17:26:50,2020-08-17 17:29:41,Role 5,7,2.028169014084507,2
1,J,2020-08-17 17:31:57,2020-08-17 17:31:57,Role 5,7,2.0367504835589942,2
2,E,2020-08-17 17:31:57,2020-08-17 17:34:09,Role 5,7,2.0140845070422535,2
3,E,2020-08-17 17:34:09,2020-08-17 17:36:21,Role 5,7,2.0140845070422535,2
1,K,2020-08-17 17:39:12,2020-08-17 17:48:38,Role 5,7,2.025974025974026,2
2,F,2020-08-17 17:48:38,2020-08-17 17:51:29,Role 5,7,2.0253521126760563,2
3,F,2020-08-17 17:51:29,2020-08-17 17:54:20,Role 5,7,2.0253521126760563,2
4,A,2020-08-17 17:54:20,2020-08-17 18:00:51,Role 5,8,2.008450704225352,3
1,O,2020-08-17 18:00:51,2020-08-17 18:07:46,Role 5,8,2.018181818181818,3
2,C,2020-08-17 18:07:46,2020-08-17 18:14:30,Role 5,8,2.0140845070422535,3
3,C,2020-08-17 18:14:30,2020-08-17 18:21:14,Role 5,8,2.0140845070422535,3
4,B,2020-08-17 18:28:54,2020-08-17 18:31:37,Role 5,8,2.028169014084507,3
2,D,2020-08-17 18:31:37,2020-08-17 18:40:43,Role 5,8,2.0225352112676056,2
5,A,2020-08-17 18:40:43,2020-08-17 18:47:18,Role 5,9,2.008450704225352,3
3,D,2020-08-17 18:47:18,2020-08-17 18:56:23,Role 5,9,2.0225352112676056,3
4,E,2020-08-17 18:56:23,2020-08-17 18:58:27,Role 5,9,2.0140845070422535,3
2,H,2020-08-17 18:58:27,2020-08-17 19:01:44,Role 5,9,2.028169014084507,3
5,B,2020-08-17 19:30:06,2020-08-17 19:32:45,Role 5,9,2.028169014084507,3
3,H,2020-08-17 19:32:45,2020-08-17 19:36:01,Role 5,9,2.028169014084507,3
4,F,2020-08-17 19:36:01,2020-08-17 19:38:46,Role 5,9,2.0253521126760563,3
1,BB,2020-08-17 18:08:37,2020-08-17 19:59:19,Role 1,8,2.018181818181818,0
1,CC,2020-08-17 19:59:54,2020-08-17 20:04:38,Role 1,10,2.1636363636363636,0
2,G,2020-08-17 20:17:59,2020-08-17 20:18:19,Role 5,9,2.0338028169014084,3
6,A,2020-08-17 20:18:19,2020-08-17 20:24:52,Role 5,10,2.008450704225352,4
5,E,2020-08-17 20:24:52,2020-08-17 20:26:53,Role 5,10,2.0140845070422535,4
3,G,2020-08-17 20:52:50,2020-08-17 20:53:10,Role 5,10,2.0338028169014084,4
4,C,2020-08-17 20:53:10,2020-08-17 20:59:45,Role 5,10,2.0140845070422535,4
2,I,2020-08-17 20:59:45,2020-08-17 21:08:24,Role 5,10,2.0405405405405403,4
