caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A,2020-08-17 14:07:28,2020-08-17 14:14:01,Role 5,5,2.008450704225352,0
1,B,2020-08-17 14:39:56,2020-08-17 14:42:53,Role 5,5,2.028169014084507,0
1,E,2020-08-17 14:43:13,2020-08-17 14:45:28,Role 5,5,2.0140845070422535,0
1,F,2020-08-17 14:45:43,2020-08-17 14:48:34,Role 5,5,2.0253521126760563,0
1,C,2020-08-17 14:48:51,2020-08-17 14:55:32,Role 5,5,2.0140845070422535,0
1,D,2020-08-17 14:55:49,2020-08-17 15:04:52,Role 5,5,2.0225352112676056,0
1,H,2020-08-17 15:05:16,2020-08-17 15:08:39,Role 5,5,2.028169014084507,0
2,A,2020-08-17 15:08:39,2020-08-17 15:15:12,Role 5,6,2.008450704225352,1
1,G,2020-08-17 16:12:12,2020-08-17 16:12:47,Role 5,6,2.0338028169014084,1
2,B,2020-08-17 16:12:47,2020-08-17 16:15:41,Role 5,6,2.028169014084507,1
1,I,2020-08-17 16:37:51,2020-08-17 16:46:32,Role 5,6,2.0405405405405403,1
2,E,2020-08-17 16:46:32,2020-08-17 16:48:45,Role 5,6,2.0140845070422535,1
1,J,2020-08-17 16:57:34,2020-08-17 16:57:34,Role 5,6,2.0367504835589942,1
2,F,2020-08-17 16:57:34,2020-08-17 17:00:25,Role 5,6,2.0253521126760563,1
1,P,2020-08-17 17:04:46,2020-08-17 17:14:37,Role 5,6,2.017857142857143,1
2,C,2020-08-17 17:14:37,2020-08-17 17:21:25,Role 5,6,2.0140845070422535,1
2,D,2020-08-17 17:21:41,2020-08-17 17:30:28,Role 5,6,2.0225352112676056,0
3,A,2020-08-17 17:30:28,2020-08-17 17:37:04,Role 5,7,2.008450704225352,1
2,H,2020-08-17 17:37:04,2020-08-17 17:40:26,Role 5,7,2.028169014084507,1
3,B,2020-08-17 18:03:40,2020-08-17 18:06:28,Role 5,7,2.028169014084507,1
1,Q,2020-08-17 17:16:01,2020-08-17 18:39:48,Role 2,6,2.017857142857143,0
2,G,2020-08-17 18:58:37,2020-08-17 18:59:09,Role 5,7,2.0338028169014084,1
