caseid,timestamp
Case1,2021-01-20 11:56:54
Case2,2021-01-20 12:26:28
Case3,2021-01-20 14:06:52
Case4,2021-01-20 14:28:15
Case5,2021-01-20 15:26:22
Case6,2021-01-20 16:50:28
Case7,2021-01-20 17:40:48
Case8,2021-01-20 18:22:12
Case9,2021-01-20 21:21:20
Case10,2021-01-20 23:05:03
Case11,2021-01-20 23:36:33
Case12,2021-01-21 01:13:36
Case13,2021-01-21 03:01:06
Case14,2021-01-21 05:06:19
Case15,2021-01-21 05:23:39
Case16,2021-01-21 08:18:41
Case17,2021-01-21 10:06:03
Case18,2021-01-21 10:24:29
Case19,2021-01-21 11:47:30
Case20,2021-01-21 12:17:04
Case21,2021-01-21 13:37:19
Case22,2021-01-21 15:00:19
Case23,2021-01-21 16:09:06
Case24,2021-01-21 16:44:45
Case25,2021-01-21 18:00:25
Case26,2021-01-21 19:05:56
Case27,2021-01-21 20:09:29
Case28,2021-01-21 20:34:12
Case29,2021-01-21 22:59:54
Case30,2021-01-21 23:13:23
Case31,2021-01-22 00:16:17
Case32,2021-01-22 04:20:06
Case33,2021-01-22 06:06:36
Case34,2021-01-22 06:17:43
Case35,2021-01-22 07:53:16
Case36,2021-01-22 08:33:19
Case37,2021-01-22 10:02:16
Case38,2021-01-22 11:10:49
Case39,2021-01-22 11:23:54
Case40,2021-01-22 12:31:40
Case41,2021-01-22 13:12:04
Case42,2021-01-22 14:31:47
Case43,2021-01-22 16:00:45
Case44,2021-01-22 16:35:55
Case45,2021-01-22 18:04:25
Case46,2021-01-22 18:32:27
Case47,2021-01-22 19:30:12
Case48,2021-01-22 20:36:03
Case49,2021-01-23 01:11:26
Case50,2021-01-23 01:51:49
Case51,2021-01-23 04:34:14
Case52,2021-01-23 07:33:00
Case53,2021-01-23 09:50:45
Case54,2021-01-23 12:06:57
Case55,2021-01-23 12:58:16
Case56,2021-01-23 17:53:19
Case57,2021-01-23 18:26:17
Case58,2021-01-24 04:27:08
Case59,2021-01-24 12:11:50
Case60,2021-01-24 12:59:29
Case61,2021-01-24 13:24:47
Case62,2021-01-24 15:49:24
Case63,2021-01-24 16:35:17
Case64,2021-01-24 17:35:46
Case65,2021-01-24 19:54:00
Case66,2021-01-25 02:18:22
Case67,2021-01-25 07:01:09
Case68,2021-01-25 07:39:30
Case69,2021-01-25 09:26:47
Case70,2021-01-25 10:46:17
Case71,2021-01-25 11:14:11
Case72,2021-01-25 12:32:07
Case73,2021-01-25 13:46:43
Case74,2021-01-25 14:29:22
Case75,2021-01-25 16:00:55
Case76,2021-01-25 16:12:46
Case77,2021-01-25 16:31:45
Case78,2021-01-25 17:33:57
Case79,2021-01-25 18:43:07
Case80,2021-01-25 19:58:05
Case81,2021-01-25 20:52:01
Case82,2021-01-26 00:42:58
Case83,2021-01-26 01:39:00
Case84,2021-01-26 02:25:06
Case85,2021-01-26 03:22:11
Case86,2021-01-26 05:01:49
Case87,2021-01-26 05:44:48
Case88,2021-01-26 06:46:00
Case89,2021-01-26 08:35:21
Case90,2021-01-26 11:04:07
Case91,2021-01-26 11:44:51
Case92,2021-01-26 12:13:45
Case93,2021-01-26 12:41:51
Case94,2021-01-26 14:04:53
Case95,2021-01-26 14:57:49
Case96,2021-01-26 16:09:50
Case97,2021-01-26 16:23:40
Case98,2021-01-26 16:39:07
Case99,2021-01-26 17:18:06
Case100,2021-01-26 18:44:21
Case101,2021-01-26 19:39:03
Case102,2021-01-26 20:30:55
Case103,2021-01-26 21:17:56
Case104,2021-01-26 22:57:22
Case105,2021-01-26 23:33:27
Case106,2021-01-27 00:28:00
Case107,2021-01-27 03:30:05
Case108,2021-01-27 04:59:29
Case109,2021-01-27 07:20:00
Case110,2021-01-27 09:22:58
Case111,2021-01-27 10:47:59
Case112,2021-01-27 11:30:54
Case113,2021-01-27 12:40:21
