caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A,2021-01-20 12:37:45,2021-01-20 12:44:02,Role 5,4,1.0445657116871305,-1
2,A,2021-01-20 13:58:29,2021-01-20 14:04:46,Role 5,5,1.0445657116871305,-1
1,B,2021-01-20 14:07:40,2021-01-20 14:11:57,Role 5,4,1.0419198809376162,-1
1,G,2021-01-20 14:12:12,2021-01-20 14:13:32,Role 5,5,1.0396461201372524,-1
1,F,2021-01-20 14:14:19,2021-01-20 14:20:42,Role 5,5,1.0357600562239033,-1
1,D,2021-01-20 14:21:37,2021-01-20 14:29:48,Role 5,5,1.0403075778246311,-1
3,A,2021-01-20 14:29:48,2021-01-20 14:36:05,Role 5,6,1.0445657116871305,-1
1,H,2021-01-20 14:36:05,2021-01-20 14:39:15,Role 5,6,1.042085245359461,-1
1,C,2021-01-20 14:41:20,2021-01-20 14:46:19,Role 5,6,1.0371243127041216,-1
4,A,2021-01-20 15:13:16,2021-01-20 15:19:33,Role 5,7,1.0445657116871305,-1
2,B,2021-01-20 15:32:49,2021-01-20 15:37:06,Role 5,5,1.0419198809376162,-1
2,G,2021-01-20 15:37:06,2021-01-20 15:38:25,Role 5,7,1.0396461201372524,-1
2,F,2021-01-20 15:38:49,2021-01-20 15:45:12,Role 5,7,1.0357600562239033,-1
3,B,2021-01-20 15:45:12,2021-01-20 15:49:28,Role 5,6,1.0419198809376162,-1
2,D,2021-01-20 15:49:28,2021-01-20 15:57:36,Role 5,7,1.0403075778246311,-1
3,G,2021-01-20 15:57:36,2021-01-20 15:58:55,Role 5,7,1.0396461201372524,-1
2,H,2021-01-20 15:58:55,2021-01-20 16:02:06,Role 5,7,1.042085245359461,-1
3,F,2021-01-20 16:02:06,2021-01-20 16:08:29,Role 5,7,1.0357600562239033,-1
2,C,2021-01-20 16:08:29,2021-01-20 16:13:29,Role 5,7,1.0371243127041216,-1
3,D,2021-01-20 16:13:29,2021-01-20 16:21:37,Role 5,7,1.0403075778246311,-1
3,H,2021-01-20 16:21:44,2021-01-20 16:24:54,Role 5,7,1.042085245359461,-1
3,C,2021-01-20 16:25:44,2021-01-20 16:30:43,Role 5,7,1.0371243127041216,-1
1,E,2021-01-20 16:30:43,2021-01-20 16:31:26,Role 5,6,1.0420025631485386,-1
4,B,2021-01-20 16:41:34,2021-01-20 16:45:50,Role 5,7,1.0419198809376162,-1
4,G,2021-01-20 16:45:58,2021-01-20 16:47:16,Role 5,7,1.0396461201372524,-1
4,F,2021-01-20 16:47:37,2021-01-20 16:54:00,Role 5,7,1.0357600562239033,-1
4,D,2021-01-20 16:54:10,2021-01-20 17:02:18,Role 5,7,1.0403075778246311,-1
4,H,2021-01-20 17:02:28,2021-01-20 17:05:38,Role 5,7,1.042085245359461,-1
5,A,2021-01-20 17:05:54,2021-01-20 17:12:11,Role 5,8,1.0445657116871305,-1
4,C,2021-01-20 17:12:11,2021-01-20 17:17:08,Role 5,7,1.0371243127041216,-1
1,I,2021-01-20 17:28:32,2021-01-20 17:35:32,Role 5,7,1.0633759146719584,-1
6,A,2021-01-20 17:39:19,2021-01-20 17:45:36,Role 5,9,1.0445657116871305,-1
2,E,2021-01-20 18:00:46,2021-01-20 18:01:30,Role 5,7,1.0420025631485386,-1
3,E,2021-01-20 18:18:06,2021-01-20 18:18:49,Role 5,7,1.0420025631485386,-1
5,B,2021-01-20 18:28:44,2021-01-20 18:32:59,Role 5,8,1.0419198809376162,-1
1,J,2021-01-20 18:32:59,2021-01-20 18:33:02,Role 5,8,1.2759932200587043,-1
5,G,2021-01-20 18:33:02,2021-01-20 18:34:20,Role 5,9,1.0396461201372524,-1
5,F,2021-01-20 18:34:20,2021-01-20 18:40:44,Role 5,9,1.0357600562239033,-1
7,A,2021-01-20 18:40:44,2021-01-20 18:47:01,Role 5,10,1.0445657116871305,-1
5,D,2021-01-20 18:47:01,2021-01-20 18:55:03,Role 5,10,1.0403075778246311,-1
5,H,2021-01-20 18:55:03,2021-01-20 18:58:13,Role 5,10,1.042085245359461,-1
6,B,2021-01-20 18:58:13,2021-01-20 19:02:28,Role 5,9,1.0419198809376162,-1
5,C,2021-01-20 19:02:28,2021-01-20 19:07:24,Role 5,10,1.0371243127041216,-1
6,G,2021-01-20 19:07:24,2021-01-20 19:08:42,Role 5,10,1.0396461201372524,-1
2,I,2021-01-20 19:08:42,2021-01-20 19:15:42,Role 5,9,1.0633759146719584,-1
4,E,2021-01-20 19:15:42,2021-01-20 19:16:26,Role 5,8,1.0420025631485386,-1
6,F,2021-01-20 19:16:26,2021-01-20 19:22:50,Role 5,10,1.0357600562239033,-1
3,I,2021-01-20 19:22:50,2021-01-20 19:29:49,Role 5,9,1.0633759146719584,-1
6,D,2021-01-20 19:29:49,2021-01-20 19:37:48,Role 5,10,1.0403075778246311,-1
1,K,2021-01-20 19:37:48,2021-01-20 19:44:25,Role 5,9,1.0538261193104304,-1
6,H,2021-01-20 19:44:25,2021-01-20 19:47:35,Role 5,10,1.042085245359461,-1
7,B,2021-01-20 19:47:35,2021-01-20 19:51:49,Role 5,10,1.0419198809376162,-1
8,A,2021-01-20 19:51:49,2021-01-20 19:58:06,Role 5,11,1.0445657116871305,-1
6,C,2021-01-20 19:58:06,2021-01-20 20:03:00,Role 5,11,1.0371243127041216,-1
7,G,2021-01-20 20:03:00,2021-01-20 20:04:18,Role 5,11,1.0396461201372524,-1
1,N,2021-01-20 20:04:18,2021-01-20 20:11:34,Role 5,10,1.02244822026541,-1
7,F,2021-01-20 20:11:34,2021-01-20 20:17:58,Role 5,11,1.0357600562239033,-1
2,J,2021-01-20 20:17:58,2021-01-20 20:18:02,Role 5,10,1.2759932200587043,-1
7,D,2021-01-20 20:18:02,2021-01-20 20:25:57,Role 5,11,1.0403075778246311,-1
4,I,2021-01-20 20:25:57,2021-01-20 20:33:01,Role 5,10,1.0633759146719584,-1
