caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,A,2021-01-20 11:54:02,2021-01-20 12:00:19,Role 5,4,1.0445657116871305,0
2,A,2021-01-20 13:04:58,2021-01-20 13:11:15,Role 5,5,1.0445657116871305,0
1,B,2021-01-20 13:23:57,2021-01-20 13:28:14,Role 5,4,1.0419198809376162,0
1,G,2021-01-20 13:28:29,2021-01-20 13:29:49,Role 5,5,1.0396461201372524,0
1,F,2021-01-20 13:30:36,2021-01-20 13:36:59,Role 5,5,1.0357600562239033,0
1,D,2021-01-20 13:37:54,2021-01-20 13:46:05,Role 5,5,1.0403075778246311,0
1,H,2021-01-20 13:47:21,2021-01-20 13:50:31,Role 5,5,1.042085245359461,0
1,C,2021-01-20 13:52:41,2021-01-20 13:57:40,Role 5,5,1.0371243127041216,0
3,A,2021-01-20 13:58:49,2021-01-20 14:05:06,Role 5,6,1.0445657116871305,0
4,A,2021-01-20 14:23:33,2021-01-20 14:29:50,Role 5,7,1.0445657116871305,0
2,B,2021-01-20 14:39:18,2021-01-20 14:43:35,Role 5,5,1.0419198809376162,0
2,G,2021-01-20 14:43:35,2021-01-20 14:44:55,Role 5,7,1.0396461201372524,0
2,F,2021-01-20 14:45:19,2021-01-20 14:51:42,Role 5,7,1.0357600562239033,0
2,D,2021-01-20 14:51:53,2021-01-20 15:00:01,Role 5,7,1.0403075778246311,0
2,H,2021-01-20 15:00:14,2021-01-20 15:03:25,Role 5,7,1.042085245359461,0
2,C,2021-01-20 15:04:36,2021-01-20 15:09:36,Role 5,7,1.0371243127041216,0
5,A,2021-01-20 15:26:14,2021-01-20 15:32:31,Role 5,8,1.0445657116871305,0
3,B,2021-01-20 15:32:31,2021-01-20 15:36:48,Role 5,6,1.0419198809376162,0
3,G,2021-01-20 15:36:48,2021-01-20 15:38:07,Role 5,8,1.0396461201372524,0
3,F,2021-01-20 15:38:07,2021-01-20 15:44:30,Role 5,8,1.0357600562239033,0
1,E,2021-01-20 15:44:30,2021-01-20 15:45:12,Role 5,5,1.0420025631485386,0
3,D,2021-01-20 15:45:12,2021-01-20 15:53:18,Role 5,8,1.0403075778246311,1
4,B,2021-01-20 15:53:18,2021-01-20 15:57:34,Role 5,7,1.0419198809376162,0
3,H,2021-01-20 15:57:34,2021-01-20 16:00:45,Role 5,8,1.042085245359461,1
4,G,2021-01-20 16:00:45,2021-01-20 16:02:04,Role 5,8,1.0396461201372524,1
3,C,2021-01-20 16:02:04,2021-01-20 16:07:03,Role 5,8,1.0371243127041216,1
4,F,2021-01-20 16:07:03,2021-01-20 16:13:26,Role 5,8,1.0357600562239033,1
