caseid,timestamp
Case1,2019-05-14 09:32:58
Case2,2019-05-14 09:35:22
Case3,2019-05-14 09:39:48
Case4,2019-05-14 09:43:29
Case5,2019-05-14 09:44:50
Case6,2019-05-14 09:57:04
Case7,2019-05-14 09:58:05
Case8,2019-05-14 10:00:31
Case9,2019-05-14 10:02:40
Case10,2019-05-14 10:03:21
Case11,2019-05-14 10:06:23
Case12,2019-05-14 10:07:34
Case13,2019-05-14 10:08:27
Case14,2019-05-14 10:09:12
Case15,2019-05-14 10:11:28
Case16,2019-05-14 10:17:01
Case17,2019-05-14 10:17:27
Case18,2019-05-14 10:22:30
Case19,2019-05-14 10:23:15
Case20,2019-05-14 10:24:14
Case21,2019-05-14 10:30:08
Case22,2019-05-14 10:34:47
Case23,2019-05-14 10:35:46
Case24,2019-05-14 10:36:52
Case25,2019-05-14 10:39:34
Case26,2019-05-14 10:41:08
Case27,2019-05-14 10:41:16
Case28,2019-05-14 10:42:15
Case29,2019-05-14 10:44:20
Case30,2019-05-14 10:44:26
Case31,2019-05-14 10:49:24
Case32,2019-05-14 10:50:50
Case33,2019-05-14 10:54:00
Case34,2019-05-14 10:58:50
Case35,2019-05-14 11:08:07
Case36,2019-05-14 11:08:50
Case37,2019-05-14 11:13:42
Case38,2019-05-14 11:17:48
Case39,2019-05-14 11:22:41
Case40,2019-05-14 11:41:08
Case41,2019-05-14 11:42:45
Case42,2019-05-14 11:45:57
Case43,2019-05-14 11:46:18
Case44,2019-05-14 11:52:35
Case45,2019-05-14 11:52:42
Case46,2019-05-14 11:59:12
Case47,2019-05-14 12:00:24
Case48,2019-05-14 12:00:51
Case49,2019-05-14 12:00:56
Case50,2019-05-14 12:01:27
Case51,2019-05-14 12:02:10
Case52,2019-05-14 12:02:55
Case53,2019-05-14 12:04:29
Case54,2019-05-14 12:06:22
Case55,2019-05-14 12:06:32
Case56,2019-05-14 12:11:10
Case57,2019-05-14 12:21:14
Case58,2019-05-14 12:28:26
Case59,2019-05-14 12:30:56
Case60,2019-05-14 12:36:54
Case61,2019-05-14 12:45:26
Case62,2019-05-14 12:47:33
Case63,2019-05-14 13:07:33
Case64,2019-05-14 13:07:39
Case65,2019-05-14 13:09:24
Case66,2019-05-14 13:11:38
Case67,2019-05-14 13:14:18
Case68,2019-05-14 13:15:45
Case69,2019-05-14 13:24:07
Case70,2019-05-14 13:27:45
Case71,2019-05-14 13:31:46
Case72,2019-05-14 13:33:23
Case73,2019-05-14 13:33:31
Case74,2019-05-14 13:39:27
Case75,2019-05-14 13:41:54
Case76,2019-05-14 13:53:29
Case77,2019-05-14 13:55:23
Case78,2019-05-14 14:13:03
Case79,2019-05-14 14:14:24
Case80,2019-05-14 14:15:47
Case81,2019-05-14 14:20:40
Case82,2019-05-14 14:23:57
Case83,2019-05-14 14:25:43
Case84,2019-05-14 14:31:51
Case85,2019-05-14 14:32:41
Case86,2019-05-14 14:33:16
Case87,2019-05-14 14:35:31
Case88,2019-05-14 14:44:23
Case89,2019-05-14 14:54:35
Case90,2019-05-14 14:56:10
Case91,2019-05-14 14:57:08
Case92,2019-05-14 15:00:19
Case93,2019-05-14 15:00:45
Case94,2019-05-14 15:02:04
Case95,2019-05-14 15:05:16
Case96,2019-05-14 15:05:20
Case97,2019-05-14 15:08:45
Case98,2019-05-14 15:10:51
Case99,2019-05-14 15:19:10
Case100,2019-05-14 15:23:54
Case101,2019-05-14 15:41:57
Case102,2019-05-14 15:44:05
Case103,2019-05-14 15:45:31
Case104,2019-05-14 15:52:40
Case105,2019-05-14 15:56:46
Case106,2019-05-14 16:03:13
Case107,2019-05-14 16:04:20
Case108,2019-05-14 16:05:18
Case109,2019-05-14 16:09:36
Case110,2019-05-14 16:19:53
Case111,2019-05-14 16:21:42
Case112,2019-05-14 16:21:45
Case113,2019-05-14 16:29:20
Case114,2019-05-14 16:31:37
Case115,2019-05-14 16:37:57
Case116,2019-05-14 16:40:06
Case117,2019-05-14 16:44:11
Case118,2019-05-14 16:44:21
Case119,2019-05-14 16:49:24
Case120,2019-05-14 16:54:54
Case121,2019-05-14 16:57:52
Case122,2019-05-14 17:01:04
Case123,2019-05-14 17:04:19
Case124,2019-05-14 17:04:29
Case125,2019-05-14 17:07:16
Case126,2019-05-14 17:12:02
Case127,2019-05-14 17:12:04
Case128,2019-05-14 17:12:15
Case129,2019-05-14 17:12:48
Case130,2019-05-14 17:17:27
Case131,2019-05-14 17:18:39
Case132,2019-05-14 17:21:08
Case133,2019-05-14 17:27:11
Case134,2019-05-14 17:27:16
Case135,2019-05-14 17:30:54
Case136,2019-05-14 17:31:28
Case137,2019-05-14 17:37:16
Case138,2019-05-14 17:40:05
Case139,2019-05-14 17:40:43
Case140,2019-05-14 17:48:11
Case141,2019-05-14 17:50:33
Case142,2019-05-14 17:53:32
Case143,2019-05-14 17:56:51
Case144,2019-05-14 17:58:13
Case145,2019-05-14 18:04:12
Case146,2019-05-14 18:06:47
Case147,2019-05-14 18:11:22
Case148,2019-05-14 18:14:10
Case149,2019-05-14 18:18:48
Case150,2019-05-14 18:20:32
Case151,2019-05-14 18:26:05
Case152,2019-05-14 18:26:56
Case153,2019-05-14 18:31:03
Case154,2019-05-14 18:32:28
Case155,2019-05-14 18:33:04
Case156,2019-05-14 18:37:40
Case157,2019-05-14 18:41:43
Case158,2019-05-14 18:45:07
Case159,2019-05-14 18:45:22
Case160,2019-05-14 18:46:06
Case161,2019-05-14 18:47:05
Case162,2019-05-14 18:49:54
Case163,2019-05-14 18:59:02
Case164,2019-05-14 19:12:04
Case165,2019-05-14 19:16:17
Case166,2019-05-14 19:16:31
Case167,2019-05-14 19:17:25
Case168,2019-05-14 19:19:07
Case169,2019-05-14 19:22:15
Case170,2019-05-14 19:26:57
Case171,2019-05-14 19:34:09
Case172,2019-05-14 19:37:42
Case173,2019-05-14 19:41:25
Case174,2019-05-14 19:41:54
Case175,2019-05-14 19:52:23
Case176,2019-05-14 20:06:48
Case177,2019-05-14 20:15:59
Case178,2019-05-14 20:28:41
Case179,2019-05-14 20:52:13
Case180,2019-05-14 20:53:54
Case181,2019-05-14 20:56:15
Case182,2019-05-14 21:06:19
Case183,2019-05-14 21:23:39
Case184,2019-05-14 21:26:55
Case185,2019-05-14 21:40:59
Case186,2019-05-14 22:51:49
Case187,2019-05-14 22:59:06
Case188,2019-05-14 23:04:01
Case189,2019-05-14 23:32:24
Case190,2019-05-15 01:51:13
Case191,2019-05-15 02:12:56
Case192,2019-05-15 02:14:58
Case193,2019-05-15 02:16:06
Case194,2019-05-15 02:28:20
Case195,2019-05-15 02:36:13
Case196,2019-05-15 02:39:34
Case197,2019-05-15 03:04:52
Case198,2019-05-15 03:12:38
Case199,2019-05-15 03:17:04
Case200,2019-05-15 03:35:15
Case201,2019-05-15 03:39:48
Case202,2019-05-15 03:43:03
