caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Prescription received,2019-05-14 09:33:27,2019-05-14 09:34:58,Role 1,568,1.0,-1
2,Prescription received,2019-05-14 09:38:56,2019-05-14 09:40:27,Role 1,569,1.0,-1
3,Prescription received,2019-05-14 09:46:01,2019-05-14 09:47:32,Role 1,570,1.0,-1
4,Prescription received,2019-05-14 09:46:27,2019-05-14 09:47:58,Role 1,571,2.0,-1
5,Prescription received,2019-05-14 09:47:16,2019-05-14 09:48:48,Role 1,572,3.0,-1
6,Prescription received,2019-05-14 09:48:50,2019-05-14 09:50:21,Role 1,573,1.0,-1
7,Prescription received,2019-05-14 09:49:40,2019-05-14 09:51:11,Role 1,574,2.0,-1
8,Prescription received,2019-05-14 09:50:14,2019-05-14 09:51:46,Role 1,575,3.0,-1
9,Prescription received,2019-05-14 09:51:25,2019-05-14 09:52:56,Role 1,576,2.0,-1
10,Prescription received,2019-05-14 09:52:11,2019-05-14 09:53:42,Role 1,577,2.0,-1
11,Prescription received,2019-05-14 09:52:12,2019-05-14 09:53:44,Role 1,578,3.0,-1
12,Prescription received,2019-05-14 10:04:21,2019-05-14 10:05:52,Role 1,579,1.0,-1
13,Prescription received,2019-05-14 10:15:33,2019-05-14 10:17:04,Role 1,580,1.0,-1
14,Prescription received,2019-05-14 10:19:28,2019-05-14 10:20:59,Role 1,581,1.0,-1
15,Prescription received,2019-05-14 10:22:50,2019-05-14 10:24:21,Role 1,582,1.0,-1
16,Prescription received,2019-05-14 10:24:04,2019-05-14 10:25:35,Role 1,583,2.0,-1
17,Prescription received,2019-05-14 10:41:48,2019-05-14 10:43:19,Role 1,584,1.0,-1
18,Prescription received,2019-05-14 10:42:19,2019-05-14 10:43:50,Role 1,585,2.0,-1
19,Prescription received,2019-05-14 10:45:27,2019-05-14 10:46:58,Role 1,586,1.0,-1
20,Prescription received,2019-05-14 10:46:45,2019-05-14 10:48:16,Role 1,587,2.0,-1
21,Prescription received,2019-05-14 10:50:55,2019-05-14 10:52:26,Role 1,588,1.0,-1
22,Prescription received,2019-05-14 10:51:26,2019-05-14 10:52:57,Role 1,589,2.0,-1
23,Prescription received,2019-05-14 10:51:49,2019-05-14 10:53:21,Role 1,590,3.0,-1
24,Prescription received,2019-05-14 10:54:30,2019-05-14 10:56:01,Role 1,591,1.0,-1
25,Prescription received,2019-05-14 10:57:13,2019-05-14 10:58:44,Role 1,592,1.0,-1
26,Prescription received,2019-05-14 10:58:14,2019-05-14 10:59:45,Role 1,593,2.0,-1
27,Prescription received,2019-05-14 11:01:19,2019-05-14 11:02:50,Role 1,594,1.0,-1
28,Prescription received,2019-05-14 11:15:01,2019-05-14 11:16:32,Role 1,595,1.0,-1
29,Prescription received,2019-05-14 11:15:03,2019-05-14 11:16:34,Role 1,596,2.0,-1
30,Prescription received,2019-05-14 11:17:52,2019-05-14 11:19:23,Role 1,597,1.0,-1
31,Prescription received,2019-05-14 11:18:43,2019-05-14 11:20:14,Role 1,598,2.0,-1
32,Prescription received,2019-05-14 11:22:01,2019-05-14 11:23:32,Role 1,599,1.0,-1
33,Prescription received,2019-05-14 11:24:44,2019-05-14 11:26:15,Role 1,600,1.0,-1
34,Prescription received,2019-05-14 11:29:14,2019-05-14 11:30:45,Role 1,601,1.0,-1
35,Prescription received,2019-05-14 11:29:45,2019-05-14 11:31:16,Role 1,602,2.0,-1
36,Prescription received,2019-05-14 11:30:52,2019-05-14 11:32:23,Role 1,603,2.0,-1
37,Prescription received,2019-05-14 11:31:00,2019-05-14 11:32:32,Role 1,604,3.0,-1
38,Prescription received,2019-05-14 11:33:11,2019-05-14 11:34:42,Role 1,605,1.0,-1
39,Prescription received,2019-05-14 11:34:14,2019-05-14 11:35:45,Role 1,606,2.0,-1
40,Prescription received,2019-05-14 11:36:37,2019-05-14 11:38:08,Role 1,607,1.0,-1
41,Prescription received,2019-05-14 11:41:45,2019-05-14 11:43:16,Role 1,608,1.0,-1
42,Prescription received,2019-05-14 11:50:17,2019-05-14 11:51:48,Role 1,609,1.0,-1
43,Prescription received,2019-05-14 11:52:15,2019-05-14 11:53:46,Role 1,610,1.0,-1
44,Prescription received,2019-05-14 11:55:33,2019-05-14 11:57:04,Role 1,611,1.0,-1
45,Prescription received,2019-05-14 11:58:41,2019-05-14 12:00:12,Role 1,612,1.0,-1
46,Prescription received,2019-05-14 12:05:32,2019-05-14 12:07:03,Role 1,613,1.0,-1
47,Prescription received,2019-05-14 12:07:00,2019-05-14 12:08:31,Role 1,614,2.0,-1
48,Prescription received,2019-05-14 12:08:05,2019-05-14 12:09:36,Role 1,615,2.0,-1
49,Prescription received,2019-05-14 12:19:03,2019-05-14 12:20:34,Role 1,616,1.0,-1
50,Prescription received,2019-05-14 12:19:38,2019-05-14 12:21:09,Role 1,617,2.0,-1
51,Prescription received,2019-05-14 12:20:17,2019-05-14 12:21:49,Role 1,618,3.0,-1
52,Prescription received,2019-05-14 12:26:47,2019-05-14 12:28:18,Role 1,619,1.0,-1
53,Prescription received,2019-05-14 12:29:17,2019-05-14 12:30:48,Role 1,620,1.0,-1
54,Prescription received,2019-05-14 12:30:27,2019-05-14 12:31:58,Role 1,621,2.0,-1
55,Prescription received,2019-05-14 12:33:42,2019-05-14 12:35:13,Role 1,622,1.0,-1
56,Prescription received,2019-05-14 12:40:44,2019-05-14 12:42:15,Role 1,623,1.0,-1
57,Prescription received,2019-05-14 12:45:43,2019-05-14 12:47:14,Role 1,624,1.0,-1
