caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Prescription received,2019-05-14 09:33:12,2019-05-14 09:34:43,Role 1,568,1.0,0
2,Prescription received,2019-05-14 09:37:17,2019-05-14 09:38:48,Role 1,569,1.0,0
3,Prescription received,2019-05-14 09:40:15,2019-05-14 09:41:46,Role 1,570,1.0,0
4,Prescription received,2019-05-14 09:44:46,2019-05-14 09:46:17,Role 1,571,1.0,0
5,Prescription received,2019-05-14 09:47:58,2019-05-14 09:49:29,Role 1,572,1.0,0
6,Process drop-off,2019-05-14 09:49:32,2019-05-14 09:51:06,Role 1,573,1.3384859656166734,0
7,Prescription received,2019-05-14 09:52:03,2019-05-14 09:53:34,Role 1,574,1.0,0
8,Prescription received,2019-05-14 09:54:28,2019-05-14 09:55:59,Role 1,575,1.0,0
9,Prescription received,2019-05-14 09:56:45,2019-05-14 09:58:16,Role 1,576,1.0,0
10,Process drop-off,2019-05-14 10:03:41,2019-05-14 10:05:15,Role 1,577,1.3384859656166734,0
11,Process drop-off,2019-05-14 10:08:31,2019-05-14 10:10:05,Role 1,578,1.3384859656166734,0
12,Process drop-off,2019-05-14 10:16:53,2019-05-14 10:18:27,Role 1,579,1.3384859656166734,0
13,Prescription received,2019-05-14 10:21:22,2019-05-14 10:22:53,Role 1,580,1.0,0
14,Prescription received,2019-05-14 10:25:11,2019-05-14 10:26:42,Role 1,581,1.0,0
15,Prescription received,2019-05-14 10:25:35,2019-05-14 10:27:06,Role 1,582,2.0,0
16,Prescription received,2019-05-14 10:28:37,2019-05-14 10:30:08,Role 1,583,1.0,0
17,Prescription received,2019-05-14 10:29:55,2019-05-14 10:31:26,Role 1,584,2.0,0
18,Prescription received,2019-05-14 10:33:58,2019-05-14 10:35:29,Role 1,585,1.0,0
19,Prescription received,2019-05-14 10:36:31,2019-05-14 10:38:02,Role 1,586,1.0,0
20,Prescription received,2019-05-14 10:41:24,2019-05-14 10:42:55,Role 1,587,1.0,0
21,Prescription received,2019-05-14 10:43:04,2019-05-14 10:44:35,Role 1,588,1.0,0
22,Prescription received,2019-05-14 10:43:55,2019-05-14 10:45:26,Role 1,589,2.0,0
23,Process drop-off,2019-05-14 10:46:43,2019-05-14 10:48:17,Role 1,590,1.3384859656166734,0
24,Prescription received,2019-05-14 10:51:54,2019-05-14 10:53:25,Role 1,591,1.0,0
25,Prescription received,2019-05-14 10:53:24,2019-05-14 10:54:55,Role 1,592,2.0,0
26,Prescription received,2019-05-14 10:53:53,2019-05-14 10:55:24,Role 1,593,2.0,0
27,Prescription received,2019-05-14 10:54:26,2019-05-14 10:55:58,Role 1,594,3.0,0
28,Prescription received,2019-05-14 11:02:34,2019-05-14 11:04:05,Role 1,595,1.0,0
29,Process drop-off,2019-05-14 11:03:10,2019-05-14 11:04:44,Role 1,596,1.3384859656166734,0
30,Prescription received,2019-05-14 11:03:13,2019-05-14 11:04:44,Role 1,597,2.0,0
31,Prescription received,2019-05-14 11:10:03,2019-05-14 11:11:34,Role 1,598,1.0,0
32,Prescription received,2019-05-14 11:12:44,2019-05-14 11:14:15,Role 1,599,1.0,0
33,Process drop-off,2019-05-14 11:16:22,2019-05-14 11:17:56,Role 1,600,1.3384859656166734,0
34,Prescription received,2019-05-14 11:18:13,2019-05-14 11:19:44,Role 1,601,1.0,0
