caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Process drop-off,2019-05-14 09:33:27,2019-05-14 09:35:02,Role 1,150,2.067489114658926,0
2,Prescription received,2019-05-14 09:38:56,2019-05-14 09:40:28,Role 2,151,2.0,0
6,Process drop-off,2019-05-14 09:48:50,2019-05-14 09:50:25,Role 1,155,2.067489114658926,0
7,Process drop-off,2019-05-14 09:49:40,2019-05-14 09:51:15,Role 1,156,3.067489114658926,0
2,Prescription received,2019-05-14 17:27:11,2019-05-14 17:29:41,Role 2,151,2.0,0
3,Prescription received,2019-05-14 17:29:41,2019-05-14 17:31:13,Role 2,152,2.0,1
4,Prescription received,2019-05-14 17:31:13,2019-05-14 17:32:45,Role 2,153,2.0,2
1,Enter prescription details,2019-05-14 17:31:25,2019-05-14 17:33:55,Role 1,150,2.1088534107402035,0
1,Check if refill is allowed,2019-05-14 17:33:55,2019-05-14 17:33:55,Role 3,280,2.0,0
1,Check DUR,2019-05-14 17:33:55,2019-05-14 17:33:55,Role 3,280,2.0,0
1,Resolve DUR manually,2019-05-14 17:33:55,2019-05-14 17:34:01,Role 4,280,2.0,0
5,Prescription received,2019-05-14 17:32:45,2019-05-14 17:34:17,Role 2,154,2.0,3
9,Process drop-off,2019-05-14 17:33:55,2019-05-14 17:35:31,Role 1,158,2.067489114658926,1
8,Prescription received,2019-05-14 17:34:17,2019-05-14 17:35:49,Role 2,157,2.0,4
1,Check Insurance,2019-05-14 17:34:01,2019-05-14 17:36:52,Role 3,280,2.0,0
14,Process drop-off,2019-05-14 17:35:31,2019-05-14 17:37:07,Role 1,163,2.067489114658926,2
10,Prescription received,2019-05-14 17:35:49,2019-05-14 17:37:21,Role 2,159,2.0,5
16,Process drop-off,2019-05-14 17:37:07,2019-05-14 17:38:42,Role 1,165,2.067489114658926,3
11,Prescription received,2019-05-14 17:37:21,2019-05-14 17:38:53,Role 2,160,2.0,6
17,Process drop-off,2019-05-14 17:38:42,2019-05-14 17:40:17,Role 1,166,2.067489114658926,4
12,Prescription received,2019-05-14 17:38:53,2019-05-14 17:40:25,Role 2,161,2.0,7
7,Enter prescription details,2019-05-14 17:38:15,2019-05-14 17:40:45,Role 1,157,2.1088534107402035,0
7,Check if refill is allowed,2019-05-14 17:40:45,2019-05-14 17:40:45,Role 3,281,2.0,0
6,Enter prescription details,2019-05-14 17:39:14,2019-05-14 17:41:44,Role 1,157,3.1088534107402035,0
6,Check if refill is allowed,2019-05-14 17:41:44,2019-05-14 17:41:44,Role 3,281,2.0,0
6,Contact customer /  doctor,2019-05-14 17:41:44,2019-05-14 17:41:46,Role 4,281,2.0,0
6,Check Insurance,2019-05-14 17:41:46,2019-05-14 17:41:48,Role 3,281,2.0,0
