caseid,task,start:timestamp,time:timestamp,role,st_wip,st_tsk_wip,queue
1,Prescription received,2019-05-14 09:37:26,2019-05-14 09:38:58,Role 2,150,2.0,0
2,Process drop-off,2019-05-14 09:40:36,2019-05-14 09:42:11,Role 1,151,2.067489114658926,0
3,Process drop-off,2019-05-14 09:42:24,2019-05-14 09:43:59,Role 1,152,2.067489114658926,0
4,Prescription received,2019-05-14 09:46:33,2019-05-14 09:48:05,Role 2,153,2.0,0
5,Prescription received,2019-05-14 09:48:05,2019-05-14 09:49:37,Role 2,154,2.0,1
6,Prescription received,2019-05-14 09:58:36,2019-05-14 10:00:08,Role 2,155,2.0,0
7,Prescription received,2019-05-14 10:04:13,2019-05-14 10:05:45,Role 2,156,2.0,0
9,Prescription received,2019-05-14 10:10:12,2019-05-14 10:11:44,Role 2,158,2.0,0
10,Prescription received,2019-05-14 10:12:25,2019-05-14 10:13:57,Role 2,159,2.0,0
12,Prescription received,2019-05-14 10:27:54,2019-05-14 10:29:26,Role 2,161,2.0,0
13,Prescription received,2019-05-14 10:29:26,2019-05-14 10:30:58,Role 2,162,2.0,1
14,Prescription received,2019-05-14 10:30:58,2019-05-14 10:32:30,Role 2,163,2.0,2
3,Enter prescription details,2019-05-14 17:12:08,2019-05-14 17:14:38,Role 1,152,2.1088534107402035,0
3,Check if refill is allowed,2019-05-14 17:14:38,2019-05-14 17:14:38,Role 3,275,2.0,0
4,Process drop-off,2019-05-14 17:14:38,2019-05-14 17:17:10,Role 1,154,2.067489114658926,1
5,Process drop-off,2019-05-14 17:17:10,2019-05-14 17:19:42,Role 1,154,2.067489114658926,2
6,Process drop-off,2019-05-14 17:19:42,2019-05-14 17:22:14,Role 1,155,2.067489114658926,3
8,Process drop-off,2019-05-14 17:22:14,2019-05-14 17:23:49,Role 1,157,2.067489114658926,4
7,Process drop-off,2019-05-14 17:23:49,2019-05-14 17:26:21,Role 1,157,2.067489114658926,5
9,Process drop-off,2019-05-14 17:26:21,2019-05-14 17:28:53,Role 1,158,2.067489114658926,6
10,Process drop-off,2019-05-14 17:28:53,2019-05-14 17:31:25,Role 1,159,2.067489114658926,7
11,Process drop-off,2019-05-14 17:31:25,2019-05-14 17:33:00,Role 1,160,2.067489114658926,8
13,Process drop-off,2019-05-14 17:33:00,2019-05-14 17:35:32,Role 1,163,2.067489114658926,9
1,Process drop-off,2019-05-14 17:33:50,2019-05-14 17:36:22,Role 1,150,3.067489114658926,0
15,Process drop-off,2019-05-14 17:35:32,2019-05-14 17:37:07,Role 1,164,3.067489114658926,10
2,Enter prescription details,2019-05-14 17:35:40,2019-05-14 17:38:10,Role 1,151,2.1088534107402035,0
2,Check if refill is allowed,2019-05-14 17:38:10,2019-05-14 17:38:10,Role 3,281,2.0,0
17,Process drop-off,2019-05-14 17:37:07,2019-05-14 17:38:42,Role 1,166,3.067489114658926,12
14,Process drop-off,2019-05-14 17:36:22,2019-05-14 17:38:54,Role 1,164,3.067489114658926,11
18,Process drop-off,2019-05-14 17:38:10,2019-05-14 17:39:46,Role 1,167,4.067489114658926,13
21,Process drop-off,2019-05-14 17:38:42,2019-05-14 17:40:17,Role 1,170,4.067489114658926,14
25,Process drop-off,2019-05-14 17:38:54,2019-05-14 17:40:29,Role 1,174,4.067489114658926,15
28,Process drop-off,2019-05-14 17:39:46,2019-05-14 17:41:21,Role 1,177,4.067489114658926,16
